"OBČINE","2018 Delovni migranti [brez kmetov], ki delajo zunaj občine prebivališča"
"SLOVENIJA",52.9
"Ajdovščina",50.8
"Ankaran/Ancarano",82.4
"Apače",73.5
"Beltinci",79.2
"Benedikt",82.2
"Bistrica ob Sotli",73.0
"Bled",63.0
"Bloke",81.5
"Bohinj",47.5
"Borovnica",83.9
"Bovec",31.5
"Braslovče",82.5
"Brda",71.3
"Brezovica",76.9
"Brežice",49.6
"Cankova",74.0
"Celje",43.3
"Cerklje na Gorenjskem",69.3
"Cerknica",54.8
"Cerkno",53.0
"Cerkvenjak",82.5
"Cirkulane",86.5
"Črenšovci",78.0
"Črna na Koroškem",72.1
"Črnomelj",50.5
"Destrnik",88.3
"Divača",78.3
"Dobje",86.1
"Dobrepolje",72.2
"Dobrna",78.4
"Dobrova - Polhov Gradec",76.5
"Dobrovnik/Dobronak",75.1
"Dol pri Ljubljani",81.5
"Dolenjske Toplice",78.7
"Domžale",68.4
"Dornava",79.4
"Dravograd",64.4
"Duplek",83.2
"Gorenja vas - Poljane",66.5
"Gorišnica",81.7
"Gorje",80.3
"Gornja Radgona",44.8
"Gornji Grad",72.7
"Gornji Petrovci",79.8
"Grad",79.6
"Grosuplje",64.8
"Hajdina",84.4
"Hoče - Slivnica",78.6
"Hodoš/Hodos",90.3
"Horjul",65.2
"Hrastnik",60.7
"Hrpelje - Kozina",66.6
"Idrija",39.0
"Ig",79.6
"Ilirska Bistrica",50.1
"Ivančna Gorica",70.9
"Izola/Isola",64.3
"Jesenice",52.5
"Jezersko",83.9
"Juršinci",85.0
"Kamnik",62.8
"Kanal",65.6
"Kidričevo",63.3
"Kobarid",59.1
"Kobilje",87.6
"Kočevje",44.7
"Komen",72.8
"Komenda",75.5
"Koper/Capodistria",34.9
"Kostanjevica na Krki",76.7
"Kostel",74.9
"Kozje",76.1
"Kranj",51.2
"Kranjska Gora",62.3
"Križevci",79.2
"Krško",47.1
"Kungota",79.8
"Kuzma",70.7
"Laško",62.0
"Lenart",64.4
"Lendava/Lendva",47.3
"Litija",70.9
"Ljubljana",17.7
"Ljubno",62.1
"Ljutomer",47.3
"Log - Dragomer",84.9
"Logatec",63.3
"Loška dolina",41.5
"Loški Potok",75.0
"Lovrenc na Pohorju",74.2
"Luče",60.6
"Lukovica",79.6
"Majšperk",84.2
"Makole",84.7
"Maribor",29.1
"Markovci",78.2
"Medvode",74.1
"Mengeš",78.4
"Metlika",50.8
"Mežica",59.3
"Miklavž na Dravskem polju",84.6
"Miren - Kostanjevica",76.7
"Mirna",75.2
"Mirna Peč",87.8
"Mislinja",82.4
"Mokronog - Trebelno",79.7
"Moravče",80.2
"Moravske Toplice",76.1
"Mozirje",72.6
"Murska Sobota",38.9
"Muta",64.5
"Naklo",76.7
"Nazarje",55.5
"Nova Gorica",42.6
"Novo mesto",26.7
"Odranci",64.9
"Oplotnica",81.4
"Ormož",57.7
"Osilnica",85.1
"Pesnica",81.2
"Piran/Pirano",49.4
"Pivka",63.8
"Podčetrtek",65.3
"Podlehnik",84.3
"Podvelka",78.5
"Poljčane",71.2
"Polzela",82.6
"Postojna",52.7
"Prebold",75.6
"Preddvor",78.6
"Prevalje",74.7
"Ptuj",49.2
"Puconci",78.1
"Rače - Fram",80.7
"Radeče",64.7
"Radenci",70.5
"Radlje ob Dravi",51.4
"Radovljica",59.6
"Ravne na Koroškem",49.5
"Razkrižje",80.5
"Rečica ob Savinji",75.8
"Renče - Vogrsko",78.4
"Ribnica",49.5
"Ribnica na Pohorju",84.7
"Rogaška Slatina",44.0
"Rogašovci",70.4
"Rogatec",68.7
"Ruše",70.6
"Selnica ob Dravi",78.4
"Semič",58.5
"Sevnica",51.8
"Sežana",40.9
"Slovenj Gradec",37.3
"Slovenska Bistrica",52.8
"Slovenske Konjice",55.7
"Sodražica",73.8
"Solčava",40.4
"Središče ob Dravi",73.7
"Starše",84.6
"Straža",79.2
"Sveta Ana",85.7
"Sveta Trojica v Slov. goricah",89.2
"Sveti Andraž v Slov. goricah",88.2
"Sveti Jurij ob Ščavnici",80.7
"Sveti Jurij v Slov. goricah",86.9
"Sveti Tomaž",90.7
"Šalovci",83.5
"Šempeter - Vrtojba",63.3
"Šenčur",78.9
"Šentilj",64.7
"Šentjernej",68.9
"Šentjur",66.1
"Šentrupert",75.1
"Škocjan",83.9
"Škofja Loka",56.6
"Škofljica",82.2
"Šmarje pri Jelšah",70.2
"Šmarješke Toplice",78.0
"Šmartno ob Paki",86.4
"Šmartno pri Litiji",75.0
"Šoštanj",71.3
"Štore",79.0
"Tabor",90.3
"Tišina",85.4
"Tolmin",39.8
"Trbovlje",60.5
"Trebnje",62.2
"Trnovska vas",91.8
"Trzin",74.4
"Tržič",65.3
"Turnišče",73.4
"Velenje",35.5
"Velika Polana",86.5
"Velike Lašče",77.6
"Veržej",78.6
"Videm",87.2
"Vipava",70.1
"Vitanje",81.7
"Vodice",78.5
"Vojnik",78.9
"Vransko",80.1
"Vrhnika",70.6
"Vuzenica",79.2
"Zagorje ob Savi",58.7
"Zavrč",82.5
"Zreče",48.2
"Žalec",57.8
"Železniki",44.8
"Žetale",87.1
"Žiri",39.0
"Žirovnica",82.1
"Žužemberk",71.3
